detail_url,main_image_url,title_full,museum_detail,category_detail,era_detail,level,entry_year,material,gallery_urls,local_main_image,local_gallery_images
https://www.museumschina.cn/collection/details?id=a5df4937d99a04f39b616a57ace1cf9aa,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/64/03/24/21800001/10000403/6403242180000110000403-A-0001_wm.jpg,新石器时代菜园文化三角纹双耳彩陶罐,宁夏回族自治区吴忠市同心县数字博物馆,陶器,新石器时代,三级,,单一/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/64/03/24/21800001/10000403/6403242180000110000403-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/64/03/24/21800001/10000403/6403242180000110000403-A-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/64/03/24/21800001/10000403/6403242180000110000403-A-0003_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/64/03/24/21800001/10000403/6403242180000110000403-A-0004_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/64/03/24/21800001/10000403/6403242180000110000403-B-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/64/03/24/21800001/10000403/6403242180000110000403-D-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/64/03/24/21800001/10000403/6403242180000110000403-E-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/64/03/24/21800001/10000403/6403242180000110000403-F-0001_wm.jpg,images/bb18efbac731c27549e67869df922c78.jpg,images/bb18efbac731c27549e67869df922c78.jpg|images/fa7732ad09701fe2b6127631acfd4471.jpg|images/7373f358e357b2ab0175d31f68275485.jpg|images/ac6c35c3a96976920a758544a7420ece.jpg|images/e9eb5d8af64fe20ea8ea11c2de27d6ea.jpg|images/cab6c4ba334f77d4ea24c5fbbb1950ea.jpg|images/bb39e96a9ae49c2aa8a4b0a92087d6a9.jpg|images/b7b5fae0caf61ea05c3a0d42484ffa9a.jpg
https://www.museumschina.cn/collection/details?id=a5FFE738B50AB499F806B4776B3EF89EF,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/04/06/11800001/00000070/3704061180000100000070-A-0001_wm.jpg,新石器时代大汶口文化陶杯,山东省枣庄市山亭区数字博物馆,陶器,新石器时代,未定级,2012.0,单一/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/04/06/11800001/00000070/3704061180000100000070-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/04/06/11800001/00000070/3704061180000100000070-A-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/04/06/11800001/00000070/3704061180000100000070-B-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/04/06/11800001/00000070/3704061180000100000070-F-0001_wm.jpg,images/4d40e1d772a36cd8385bb082cc9a2527.jpg,images/4d40e1d772a36cd8385bb082cc9a2527.jpg|images/8f947423bd97b0d07e2cec11f1d3b52f.jpg|images/295bf239c1cc5ee0c164dbc197085ef6.jpg|images/e5bef29f9c9bc952f0f3295b39bb8366.jpg
https://www.museumschina.cn/collection/details?id=a5EA278BB67B74C07A0A652E410F5C806,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/15/23/21800002/00000706/3715232180000200000706-A-0001_wm.jpg,新石器时代大汶口文化红陶鬶,山东省聊城市茌平县数字博物馆,陶器,新石器时代,三级,1985.0,单一/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/15/23/21800002/00000706/3715232180000200000706-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/15/23/21800002/00000706/3715232180000200000706-A-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/15/23/21800002/00000706/3715232180000200000706-B-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/15/23/21800002/00000706/3715232180000200000706-C-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/15/23/21800002/00000706/3715232180000200000706-C-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/15/23/21800002/00000706/3715232180000200000706-E-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/15/23/21800002/00000706/3715232180000200000706-E-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/15/23/21800002/00000706/3715232180000200000706-F-0001_wm.jpg,images/244b0d5bdb097a8798eb5a02ba89f13e.jpg,images/244b0d5bdb097a8798eb5a02ba89f13e.jpg|images/00b36edabd0da1615d363b3679d2aa29.jpg|images/54f501bd9ca787c0ce9739a1b14dcfb6.jpg|images/7e46d9587f650189d5cdbdee27b1da47.jpg|images/9f578b5f02636e84b8adbc0b0318cb29.jpg|images/186f4d58792b6bae13122c76f2ddef21.jpg|images/80827844943a3e71e654ce3cf936dff8.jpg|images/4b12ebadc8affc7a7be9db8b268d9882.jpg
https://www.museumschina.cn/collection/details?id=a602ffc6e518f4401ab0c846a46eaeb59,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/42/11/27/21800011/10001640/4211272180001110001640-A-0001_wm.jpg,新石器时代黄鳝嘴文化陶鬲,黄梅县博物馆,陶器,新石器时代,未定级,1985.0,单一/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/42/11/27/21800011/10001640/4211272180001110001640-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/42/11/27/21800011/10001640/4211272180001110001640-B-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/42/11/27/21800011/10001640/4211272180001110001640-F-0001_wm.jpg,images/49d330e0a690a4a71e59b9876afbc0e0.jpg,images/49d330e0a690a4a71e59b9876afbc0e0.jpg|images/2e93bf28dd331ee322f3364a4216e69f.jpg|images/8a53958b75c9625e361ae6ea10e9579c.jpg
https://www.museumschina.cn/collection/details?id=a57076a9a524743c187f40aee8f2765d1,http://www.museumschina.cn/img/yipu/da/42/10/81/21800007/10000975/4210812180000710000975-A-0001,新石器时代灰陶罐,石首市博物馆,陶器,新石器时代,三级,1990.0,单一/无机质/陶,http://www.museumschina.cn/img/yipu/da/42/10/81/21800007/10000975/4210812180000710000975-A-0001|http://www.museumschina.cn/img/yipu/da/42/10/81/21800007/10000975/4210812180000710000975-A-0002|http://www.museumschina.cn/img/yipu/da/42/10/81/21800007/10000975/4210812180000710000975-A-0003|http://www.museumschina.cn/img/yipu/da/42/10/81/21800007/10000975/4210812180000710000975-A-0004|http://www.museumschina.cn/img/yipu/da/42/10/81/21800007/10000975/4210812180000710000975-A-0005,,
https://www.museumschina.cn/collection/details?id=a56059A789A8242848CE1522E163C8322,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/06/26/11800116/00000048/6106261180011600000048-A-0001_wm.jpg,新石器时代三耳灰陶斝,陕西省数字博物馆,陶器,新石器时代,三级,1986.0,单一/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/06/26/11800116/00000048/6106261180011600000048-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/06/26/11800116/00000048/6106261180011600000048-C-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/06/26/11800116/00000048/6106261180011600000048-D-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/06/26/11800116/00000048/6106261180011600000048-E-0001_wm.jpg,images/8df360ad4cf363a7d01f1695158f1937.jpg,images/8df360ad4cf363a7d01f1695158f1937.jpg|images/39db724ec8c20b3ec767979357eac925.jpg|images/392538f3e3c8d582a5e65ecaf5239941.jpg|images/24ad4acbf5288cc6e5044dc25ff733d6.jpg
https://www.museumschina.cn/collection/details?id=a556330cd44b44192b5b06e149abfa042,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/42/11/81/21800198/10009650/4211812180019810009650-A-0001_wm.jpg,新石器时代陶球,麻城市革命博物馆,陶器,新石器时代,未定级,1984.0,单一/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/42/11/81/21800198/10009650/4211812180019810009650-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/42/11/81/21800198/10009650/4211812180019810009650-A-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/42/11/81/21800198/10009650/4211812180019810009650-A-0003_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/42/11/81/21800198/10009650/4211812180019810009650-A-0004_wm.jpg,images/8c6a1e97f8e39af6dd5546942a4c671f.jpg,images/8c6a1e97f8e39af6dd5546942a4c671f.jpg|images/fed7b55cf564237202716a8e965c320a.jpg|images/c7cd706e412f5c8c951dd9103bfd8cb5.jpg|images/a13a6f8d19c44f55c9a1a6d6534cbd31.jpg
https://www.museumschina.cn/collection/details?id=a58a1e6d64ab74ec2ab5d2e3ceb8921c2,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/63/02/21/21800001/10000056/6302212180000110000056-A-0001_wm.jpg,新石器时代马家窑文化马厂类型垂帐纹彩陶盆,青海省海东市平安县数字博物馆,陶器,新石器时代,一级,1989.0,单一/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/63/02/21/21800001/10000056/6302212180000110000056-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/63/02/21/21800001/10000056/6302212180000110000056-A-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/63/02/21/21800001/10000056/6302212180000110000056-A-0003_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/63/02/21/21800001/10000056/6302212180000110000056-A-0004_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/63/02/21/21800001/10000056/6302212180000110000056-A-0005_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/63/02/21/21800001/10000056/6302212180000110000056-A-0006_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/63/02/21/21800001/10000056/6302212180000110000056-A-0007_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/63/02/21/21800001/10000056/6302212180000110000056-A-0008_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/63/02/21/21800001/10000056/6302212180000110000056-A-0009_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/63/02/21/21800001/10000056/6302212180000110000056-A-0010_wm.jpg,images/e8c1be3a8a8632dc31ac04dbc67b6b16.jpg,images/e8c1be3a8a8632dc31ac04dbc67b6b16.jpg|images/a250cb5aa03bb1f6c0445f2c61e58d38.jpg|images/acdae80eb7645f6059e07936cea9993a.jpg|images/3d1397879fe7461a85ac1b03cdb36855.jpg|images/9111708da20ca9340dc8c6f6b064e293.jpg|images/18af9d21f7b7e12c72dd6c6671607649.jpg|images/0f834c30797d9aee3c7715a61cd4224f.jpg|images/53d0153cd8357db841ec8e19950e1b5c.jpg|images/011c7606e1b3c2db0c31981d869d0cf7.jpg|images/415417eadcaf23c5536d272b7b1fc7ac.jpg
https://www.museumschina.cn/collection/details?id=a57eed9a26bf74687a3e62597fd5ed978,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/42/05/83/21800003/10003358/4205832180000310003358-A-0001_wm.jpg,新石器时代侈口斜腹管状纽陶器盖,枝江市博物馆,陶器,新石器时代,未定级,1978.0,单一/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/42/05/83/21800003/10003358/4205832180000310003358-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/42/05/83/21800003/10003358/4205832180000310003358-A-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/42/05/83/21800003/10003358/4205832180000310003358-A-0003_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/42/05/83/21800003/10003358/4205832180000310003358-A-0004_wm.jpg,images/79b9530bac356c469673264dcd48de04.jpg,images/79b9530bac356c469673264dcd48de04.jpg|images/ce7903e3824fc054457d9a3e91ecb637.jpg|images/dc163538a8b368784a310d2fbbf538b2.jpg|images/be780103efe997b4a6f61a54df7359e2.jpg
https://www.museumschina.cn/collection/details?id=a59E4BFA01B8346A2A6D2604E09FC3CAC,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/06/86/21800002/00002069/3706862180000200002069-A-0001_wm.jpg,新石器时代大汶口文化陶纺轮,山东省烟台市栖霞市数字博物馆,陶器,新石器时代,一般,1999.0,单一/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/06/86/21800002/00002069/3706862180000200002069-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/06/86/21800002/00002069/3706862180000200002069-B-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/06/86/21800002/00002069/3706862180000200002069-F-0001_wm.jpg,images/17d858a05abf1f0055537eb84ac7de9d.jpg,images/17d858a05abf1f0055537eb84ac7de9d.jpg|images/020a060a8f958ca259214a202a6b9a73.jpg|images/6fbed268c58f75ab26bfcce54a952b52.jpg
