detail_url,main_image_url,title_full,museum_detail,category_detail,era_detail,level,entry_year,material,gallery_urls
https://www.museumschina.cn/collection/details?id=ac74361aca1104c88bbe03f0f0011f582,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/43/12/81/21900001/10000063/4312812190000110000063-A-0001_wm.jpg,新石器时代高庙文化戳印太阳纹陶盘,湖南省怀化市洪江市数字博物馆,陶器,新石器时代,三级,,单一/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/43/12/81/21900001/10000063/4312812190000110000063-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/43/12/81/21900001/10000063/4312812190000110000063-A-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/43/12/81/21900001/10000063/4312812190000110000063-A-0003_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/43/12/81/21900001/10000063/4312812190000110000063-A-0004_wm.jpg
https://www.museumschina.cn/collection/details?id=ac89a07e5299c41619c1a7acd44efccdc,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/36/04/29/21800003/10000659/3604292180000310000659-A-0001_wm.jpg,新石器时代陶网坠,湖口县博物馆,陶器,新石器时代,三级,1982,单一/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/36/04/29/21800003/10000659/3604292180000310000659-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/36/04/29/21800003/10000659/3604292180000310000659-A-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/36/04/29/21800003/10000659/3604292180000310000659-A-0003_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/36/04/29/21800003/10000659/3604292180000310000659-A-0004_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/36/04/29/21800003/10000659/3604292180000310000659-A-0005_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/36/04/29/21800003/10000659/3604292180000310000659-A-0006_wm.jpg
https://www.museumschina.cn/collection/details?id=ac8f3d47e426a471fbac43309586ea187,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/42/12/24/21800002/10010874/4212242180000210010874-A-0001_wm.jpg,新石器时代陶鼎足,湖北省通山县博物馆,陶器,新石器时代,未定级,1982,单一/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/42/12/24/21800002/10010874/4212242180000210010874-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/42/12/24/21800002/10010874/4212242180000210010874-F-0001_wm.jpg
https://www.museumschina.cn/collection/details?id=acbf5eacd39a542ad97d8e67eda4a3767,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/43/07/21/21800001/10001532/4307212180000110001532-A-0001_wm.jpg,新石器时代陶鼎,湖南省常德市安乡县数字博物馆,陶器,新石器时代,三级,,单一/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/43/07/21/21800001/10001532/4307212180000110001532-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/43/07/21/21800001/10001532/4307212180000110001532-A-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/43/07/21/21800001/10001532/4307212180000110001532-A-0003_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/43/07/21/21800001/10001532/4307212180000110001532-A-0004_wm.jpg
https://www.museumschina.cn/collection/details?id=aCAD65CD53F7E4536B6E818F17CFACE8F,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/03/23/21800406/00002624/6103232180040600002624-A-0001_wm.jpg,新石器时代龙山文化双耳葫芦瓶,岐山县博物馆,陶器,新石器时代,二级,1986,单一/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/03/23/21800406/00002624/6103232180040600002624-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/03/23/21800406/00002624/6103232180040600002624-A-0002_wm.jpg
https://www.museumschina.cn/collection/details?id=acbea0721e240458cb2239a0b4401ac2f,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/64/03/24/21800001/10000415/6403242180000110000415-A-0001_wm.jpg,新石器时代齐家文化陶拍,宁夏回族自治区吴忠市同心县数字博物馆,陶器,新石器时代,一般,,单一/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/64/03/24/21800001/10000415/6403242180000110000415-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/64/03/24/21800001/10000415/6403242180000110000415-D-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/64/03/24/21800001/10000415/6403242180000110000415-D-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/64/03/24/21800001/10000415/6403242180000110000415-F-0001_wm.jpg
https://www.museumschina.cn/collection/details?id=ac9dcd4f647e74dd38a79d9cfb3edf89d,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/64/04/24/21800001/10000019/6404242180000110000019-A-0001_wm.jpg,新石器时代红陶罐,宁夏回族自治区固原市泾源县数字博物馆,陶器,新石器时代,三级,1998,单一/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/64/04/24/21800001/10000019/6404242180000110000019-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/64/04/24/21800001/10000019/6404242180000110000019-B-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/64/04/24/21800001/10000019/6404242180000110000019-C-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/64/04/24/21800001/10000019/6404242180000110000019-D-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/64/04/24/21800001/10000019/6404242180000110000019-E-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/64/04/24/21800001/10000019/6404242180000110000019-E-0002_wm.jpg
https://www.museumschina.cn/collection/details?id=ac979ac21a4494cde8626667538405813,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/41/13/21/21800001/10000910/4113212180000110000910-A-0001_wm.jpg,新石器时代红陶杯,南召猿人博物馆,陶器,新石器时代,三级,1985,单一/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/41/13/21/21800001/10000910/4113212180000110000910-A-0001_wm.jpg
https://www.museumschina.cn/collection/details?id=ac84672b135e641b99746d12c5b7604ed,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/42/09/22/21800008/10000021/4209222180000810000021-A-0001_wm.jpg,新石器时代屈家岭文化彩陶喇叭形杯,-,陶器,新石器时代,一般,1982,单一/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/42/09/22/21800008/10000021/4209222180000810000021-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/42/09/22/21800008/10000021/4209222180000810000021-B-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/42/09/22/21800008/10000021/4209222180000810000021-F-0001_wm.jpg
https://www.museumschina.cn/collection/details?id=aC03B282FDB29436389154669911B5B9B,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/03/04/21800449/00002700/6103042180044900002700-A-0001_wm.jpg,新石器时代尖底陶瓶,宝鸡市陈仓区博物馆,陶器,新石器时代,三级,1997,单一/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/03/04/21800449/00002700/6103042180044900002700-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/03/04/21800449/00002700/6103042180044900002700-A-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/03/04/21800449/00002700/6103042180044900002700-B-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/03/04/21800449/00002700/6103042180044900002700-C-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/03/04/21800449/00002700/6103042180044900002700-C-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/03/04/21800449/00002700/6103042180044900002700-E-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/03/04/21800449/00002700/6103042180044900002700-F-0001_wm.jpg
https://www.museumschina.cn/collection/details?id=ac05626903e29429c8949c8f8669971f3,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/64/05/22/21800001/10000059/6405222180000110000059-A-0001_wm.jpg,新石器时代齐家文化戳印纹单耳红陶罐,宁夏回族自治区中卫市海原县数字博物馆,陶器,新石器时代,三级,1995,单一/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/64/05/22/21800001/10000059/6405222180000110000059-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/64/05/22/21800001/10000059/6405222180000110000059-B-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/64/05/22/21800001/10000059/6405222180000110000059-C-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/64/05/22/21800001/10000059/6405222180000110000059-C-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/64/05/22/21800001/10000059/6405222180000110000059-C-0003_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/64/05/22/21800001/10000059/6405222180000110000059-F-0001_wm.jpg
https://www.museumschina.cn/collection/details?id=aC2978EEDEC5B4E75B18DE6D02B438EC6,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/05/24/21800333/00001203/6105242180033300001203-A-0001_wm.jpg,新石器时代花瓣纹彩陶罐,合阳县博物馆,陶器,新石器时代,二级,1957,单一/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/05/24/21800333/00001203/6105242180033300001203-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/05/24/21800333/00001203/6105242180033300001203-B-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/05/24/21800333/00001203/6105242180033300001203-D-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/05/24/21800333/00001203/6105242180033300001203-D-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/05/24/21800333/00001203/6105242180033300001203-D-0003_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/05/24/21800333/00001203/6105242180033300001203-D-0004_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/05/24/21800333/00001203/6105242180033300001203-E-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/05/24/21800333/00001203/6105242180033300001203-E-0002_wm.jpg
https://www.museumschina.cn/collection/details?id=aC03B282FDB29436389154669911B5B9B,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/03/04/21800449/00002700/6103042180044900002700-A-0001_wm.jpg,新石器时代尖底陶瓶,宝鸡市陈仓区博物馆,陶器,新石器时代,三级,1997,单一/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/03/04/21800449/00002700/6103042180044900002700-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/03/04/21800449/00002700/6103042180044900002700-A-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/03/04/21800449/00002700/6103042180044900002700-B-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/03/04/21800449/00002700/6103042180044900002700-C-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/03/04/21800449/00002700/6103042180044900002700-C-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/03/04/21800449/00002700/6103042180044900002700-E-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/61/03/04/21800449/00002700/6103042180044900002700-F-0001_wm.jpg
https://www.museumschina.cn/collection/details?id=ac057bbf265dc4183ba9a67bc25a3cb52,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/32/03/82/21800001/10000807/3203822180000110000807-A-0001_wm.jpg,新石器时代彩陶器座,邳州博物馆,陶器,新石器时代,二级,1988,单一/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/32/03/82/21800001/10000807/3203822180000110000807-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/32/03/82/21800001/10000807/3203822180000110000807-A-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/32/03/82/21800001/10000807/3203822180000110000807-A-0003_wm.jpg
https://www.museumschina.cn/collection/details?id=ac5452fb9553a4ea4b97b22629708d38e,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/43/12/81/21900001/10000175/4312812190000110000175-A-0001_wm.jpg,新石器时代高庙文化戳印几何纹圈足陶盘,湖南省怀化市洪江市数字博物馆,陶器,新石器时代,二级,,单一/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/43/12/81/21900001/10000175/4312812190000110000175-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/43/12/81/21900001/10000175/4312812190000110000175-A-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/43/12/81/21900001/10000175/4312812190000110000175-A-0003_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/43/12/81/21900001/10000175/4312812190000110000175-A-0004_wm.jpg
https://www.museumschina.cn/collection/details?id=ac634faec15eb47caa023c8f10abb6d19,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/42/00/00/21800001/10131992/4200002180000110131992-A-0001_wm.jpg,新石器时代陶鱼,-,陶器,新石器时代,一级,,单一/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/42/00/00/21800001/10131992/4200002180000110131992-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/42/00/00/21800001/10131992/4200002180000110131992-A-0002_wm.jpg
