id,name,fullDesc,raw_size_in_desc,dimensionsDesc,final_dimensions_desc
FA8DED0D112B4F8DAE05DF0CC6156CB7,新石器时代大汶口文化陶纺轮,纺轮  大汶口文化  泥质灰陶，圆形中有一孔，纺纱工具。直径5.5厘米，原馆藏。,直径5.5厘米,直径5.00；厚1.40,直径5.00（另有人测得5.5）；厚1.40
a1b4a4ff00894cae95edb113a8bd3fb4,新石器时代龙山文化磨光黑陶盖鼎,磨光黑陶盖鼎，通高22cm、外口径16.2cm、内口径15cm、盖高5.6cm、钮高1.9cm、重477.5g。该鼎为细泥质黑陶；敞口、圆唇卷沿、浅腹，腹饰一周凸弦纹，平底，下附瘦长鸟首形足；覆碗形盖，盖顶附桥形钮。,通高22cm、外口径16.2cm、内口径15cm、盖高5.6cm、钮高1.9cm、重477.5g,口径*内口径*盖高*钮高：16.2*15.0*5.6*1.9,口径*内口径*盖高*钮高：16.2*15.0*5.6*1.9，通高22cm
a220533e828e4959a6ebbc719c7e7250,新石器时代龙山文化太阳纹陶片,"残长*残宽*厚：13.1*12.8*0.9
1986年出土于边线王遗址",残长*残宽*厚：13.1*12.8*0.9,,残长*残宽*厚：13.1*12.8*0.9
b2d80f6f101c46c1b01725edd1375eb3,新石器时代大汶口文化刻陶文“昃”灰陶尊,"为新石器时代大汶口文化陶尊。1962年陵阳河遗址出土。器物高51厘米，口径30厘米，壁厚1.5厘米。夹砂灰陶，平口，折沿，方唇，深直腹渐收成尖底，腹饰篮纹，腹下部饰两道凸弦纹，腹上阴刻“昃”陶文。
此陶文表示太阳中天，即达到一天中太阳最高的位置。由于一年之中，中天太阳的最高和最低分别对应着夏至和冬至。可用这种方法来确定二至的来临。夏至和冬至祭天的习俗在莒地广为延续。该陶文实际是用来祭祀夏至和冬至的祭文。与陶文“旦”的出土和莒地祭祀太阳神和祭祀天的习俗，证明莒之先民早在5000年前就通过观察太阳的位置，发现了春、夏、秋、冬的天文现象，以此来确定春播夏种的农耕时节，从而使莒地史前的农耕文化得以繁荣发展。《周易·本》说：“日中则昃”。此陶文解释为“昃”字。",器物高51厘米，口径30厘米，壁厚1.5厘米,高52，口径34.5，壁厚1.5,高52（另有人测得51），口径34.5（另有人测得30），壁厚1.5
b9bd4a5b676e486e879f90538cc237ea,新石器时代龙山文化黑陶盖鼎,黑陶盖鼎，通高17.6cm、口径15.6cm、鼎高11.5cm、盖高6.1cm、重455g。该鼎为细泥黑陶，覆碗形盖，盖顶附桥形把手；鼎身敞口圆唇卷沿，浅腹，腹饰一周凸弦纹，平底，下附三瘦长鸟首形足。,通高17.6cm、口径15.6cm、鼎高11.5cm、盖高6.1cm、重455g,口径*鼎高*盖高：15.6*11.5*6.1,口径*鼎高*盖高：15.6*11.5*6.1，通高17.6cm
bc364728c1884104868da57ccb91c35a,新石器时代大汶口文化刻陶文“旦”灰陶尊,"为新石器时代大汶口文化陶尊。1960年陵阳河遗址出土。器物高52厘米，口径30厘米，壁厚3厘米。夹砂灰陶，口沿外折，深直腹。下部渐收成尖底。器物烧制火候较高，胎骨坚硬，周身装饰浅篮纹，腹部刻有陶文
在莒县的陵阳河和大朱家村遗址正东方，分别耸立着寺崮山和屋楼崮两座山峰。在每年春分和秋分时节，早晨太阳从峰顶冉冉升起，就依稀呈现出陶文所刻画的形象。古文字学家于省吾先生将其解释为“旦”字。上部分的圆形代表太阳，中间的部分为云气，下部分像山峰。这正是早晨山上云气承托着初出山的太阳冉冉升起的旦明景象，宛然如绘。这是莒地先民“日出而作、日落而息”长期观察太阳发现了春秋二分的天文奥妙，图像文字“旦”字的刻画是东海之滨的莒人为祭祀太阳神，因形见义，随体诘诎的杰作。它最初应该是祭祀用到的祭文，反映一个事物，随着汉字的发展，而后演化成一个单字，用来描述一个场景亦或是一个意境。他已经具备了汉字音、形、义的因素，并正向臻于成熟的汉字发展。与甲骨文极为相近，但却比甲骨文早1500多年。经过近50年各界专家的研究探讨，它无疑是汉字的祖型，是中国民族5000年前由蒙昧进入文明的标志。",器物高52厘米，口径30厘米，壁厚3厘米,高60，口径30，壁厚3,高60（另有人测得52），口径30，壁厚3
bfcb68654d18476bb53a7530d3452e71,新石器时代龙山文化黑陶盆,新石器时代龙山文化，盛器。泥质黑陶，敞口，圆唇，收腹，平底微内凹，素面。口径32.3cm、底径24.4cm、高9cm，重1201g。由山东大学东方考古研究中心于日照两城镇遗址发掘，修复后于2004年拨交，日照市博物馆收藏。国家二级文物。,口径32.3cm、底径24.4cm、高9cm，重1201g,高9，口径32.3，底径24.4,高9，口径32.3，底径24.4
c209f3fbf25d42d5a69f52baa7815426,红陶鬶,"未定级，长：19.4厘米，宽：15.8厘米，高：41厘米。
夹砂红陶，冲天流，细长颈，分档，圆唇，口沿和流结合处两侧各一泥饼，腹部两侧各1泥饼，腹部泥饼下方饰2周凸弦纹，后足饰1周凸弦纹，后足上设1宽带形鬶鋬，炊煮器。",长：19.4厘米，宽：15.8厘米，高：41厘米,,长：19.4厘米，宽：15.8厘米，高：41厘米
c3e22b966eb743dda05b272f86e1d96d,三足陶鬲,尺寸：40*30(cm)，重量：2kg，口微外撇，鼓腹，三袋型足。,尺寸：40*30(cm),40*30(cm),40*30(cm)
c63903fe68f344b490a66739058de72a,新石器时代大汶口文化黑陶豆,"        高19.2、口径21.2厘米
       1977年11月出土于孙家集街道火山埠遗址",高19.2、口径21.2厘米,,高19.2、口径21.2厘米
d42614f78b0e4380a421b532859b0030,红陶鬶,尺寸：6*6(cm)，重量：2.2kg，盘口，束颈，圆肩，鼓腹，小平底。,尺寸：6*6(cm),6*6(cm),6*6(cm)
e6897cb4c55047dfb19f5d88dff01a2e,新石器时代大汶口文化刻陶文“斤”灰陶尊,"新石器时代大汶口文化陶尊。1960年莒县陵阳河遗址出土。通高54、口径37、壁厚1.2厘米。夹砂灰陶。方唇，折沿，深直腹，尖底，腹下饰有两道凸弦纹，腹上部刻有“斤”形，通体饰篮纹。保存较好。
从陶文形状上来看像是一个带刃的兵器，用以砍杀，与使用的鹿角镐和带柄的石锛类似。古代文献记载：“蚩尤作兵，两手捧斤”。这句话延续到现在来看，汉字中“兵”的写法依然是上部分为“斤”，下边一横两点，像一个人双手举斤。故将此陶文解释为“斤”字。由于斤经常使用，为保持其锋利还需要常常磨刃，所以斤的刃部锃光明亮，并由明亮色白的形象产生了明白的含义，转为明察和重量清楚的意思，所以在典籍《诗·周颂》里说“斤斤其明”。由此推断，墓主人生前曾主管度量衡，负责过粮食与肉类重量的衡量，这件陶尊以及陶文“斤”字就是表示他身份和权利的器物。",通高54、口径37、壁厚1.2厘米,高43.5，口径38.5，壁厚0.7，底径5,高43.5，口径38.5（另有人测得37），壁厚0.7，底径5
f460c3ac15a040558ad8bf66b8513664,新石器时代龙山文化线刻画纹夹砂灰褐陶器,高12.8厘米。夹砂灰陶，呈倒圆锥形，顶部圆而平，下端圆而尖。顶端中央有一圆孔，斜着通向下端的一侧，围绕顶端圆孔有阴线刻的连续的曲线。一个侧面呈弧形，一个侧面由顶端向下斜切掉约三分之一，形成一个斜面，上面有阴线刻的图案。,高12.8厘米,长12.8，宽8，厚5.8,
fbf2dfc78ee94fc88cd02e717fbbbbbc,新石器时代大汶口文化白陶双鋬鬹,"为新石器时代大汶口文化陶鬹，1977年莒县陵阳河遗址出土。器物通高34厘米，口径最大10.7厘米，腹径最大152.厘米。夹砂白陶烧制而成，是用来盛水的炊具。椭圆形口，鸟喙形流上翘，颈部细而高，腹部微鼓，三袋足。背部安两带形鋬，鋬各饰三条凹线，腹中部饰一周附加堆纹，后部饰一短尾，其上有四条凹线，胸前正中饰一盲鼻，两侧饰对称小圆饼形。
流口和颈部像是昂起的鸟头和鸟脖子，背部的双鋬像是鸟的一对翅膀，腹部后方装饰以突出的板用以显示鸟的尾巴。整个器物构思巧妙、造型生动、制作精美。东夷民族以鸟为图腾，故创造出有鸟元素的器物作为日常生活用具，这是莒人崇尚鸟图腾的真实物证。除白陶鬶之外，在盖杯的造型上，也将杯盖上面的钮制作成鸟头的形象，造型颇为精巧。",器物通高34厘米，口径最大10.7厘米，腹径最大152.厘米,通高34，口径最大10.8，腹径最大15.2,
