row_index_0_based,name,id,image_count,era,culture,decoration,shape_feature,texture,root_shape,condition
3915,新石器时代大汶口文化陶匜,aa1051a96d4341a58c1692e28fd36a77,5,新石器时代,大汶口文化,,,陶,匜,完好
3190,新石器时代龙山文化黑陶杯,C53F88D8EE1F4C109EBF2ECE8F10C1E2,3,新石器时代,龙山文化,,,黑陶,杯,完好
2178,新石器时代大汶口文化彩陶壶,81EA8CF1E02D4685B92759674D825C9B,6,新石器时代,大汶口文化,彩,,陶,壶,完好
1969,新石器时代红陶拍,7381B59099494F22BDDE6C831864BF4A,7,新石器时代,,,,红陶,拍,完好
1516,新石器时代大汶口文化红陶鼎,544C90C24F2A47B4A585EDDF260B3F78,5,新石器时代,大汶口文化,,,红陶,鼎,完好
1839,新石器时代龙山文化陶片,6B48E9722D25468A923E22FC095C8C7A,2,新石器时代,龙山文化,,,陶,片,完好
2884,新石器时代大汶口文化红灰陶器,AE10483F3F6D4015A36702E47ED4B33B,6,新石器时代,大汶口文化,,,红灰陶,器,完好
3394,新石器时代大汶口文化夹砂灰陶鼎,D6C7B5CDD9364ADF88067B37949DEEE2,5,新石器时代,大汶口文化,,,夹砂灰陶,鼎,完好
896,新石器时代大汶口文化红陶鬶,31c779da084f4f71b396a7572b806e07,3,新石器时代,大汶口文化,,,红陶,鬶,完好
2333,新石器时代龙山文化夹砂灰褐陶器盖,8A1028CBEAE34F778664D0EBEBA52D04,6,新石器时代,龙山文化,,,夹砂灰褐陶,器盖,完好
3046,新石器时代大汶口文化红陶折腹鼎,BA2556228C1641DE87441D3A1B4ECA0F,3,新石器时代,大汶口文化,,折腹,红陶,鼎,完好
2478,新石器时代夹砂黑陶鼎,93285FEDF4C24134A1B6418E01BAF81D,6,新石器时代,,,,夹砂黑陶,鼎,完好
2576,新石器时代龙山文化陶壶,99df56fec34a4a838f64674a9bd4902c,3,新石器时代,龙山文化,,,陶,壶,完好
2669,新石器时代龙山文化黑陶壶,9be4a9ea64e64fa5aa98095655c75e0a,4,新石器时代,龙山文化,,,黑陶,壶,完好
2474,新石器时代龙山文化灰褐陶器盒,93114E8CD1E64854A7D5F3F1B36F058D,6,新石器时代,龙山文化,,,灰褐陶,器盒,完好
307,新石器时代龙山文化黑陶鼎,0C3A340B8DAF44F59701B2005E272F21,3,新石器时代,龙山文化,,,黑陶,鼎,完好
3018,新石器时代大汶口文化夹砂灰陶筒形杯,B890E4926F25447EABC294B971A2CC6D,8,新石器时代,大汶口文化,,筒形,夹砂灰陶,杯,完好
13,陶罐,0e5c3f852987458b931bcf7a6cf40cf2,1,,,,,陶,罐,完好
135,新石器时代大汶口文化陶瓶,02C21DCB8C8040E7A3AD6BFA6CEACDB5,6,新石器时代,大汶口文化,,,陶,瓶,完好
341,新石器时代龙山文化黄褐陶器盖（残）,0F1A2A824B414074821684E7C0C7D1CD,2,新石器时代,龙山文化,,,黄褐陶,器盖,残
2246,新石器时代大汶口文化泥质彩陶豆形杯,85A1393337EB44AB8761E799E5AB6ABE,9,新石器时代,大汶口文化,彩,豆形,泥质陶,杯,完好
